Grow.degd,For.cover,NDVI,bird_type,richness,forest_frag
330,99.8675,60.38135593,forest,8,1
330,0,22.88135593,forest,1,0
330,38.2825,11.86440678,forest,5,3
330,11.4125,19.06779661,forest,7,7
330,0,2.118644068,forest,2,0
170,100,54.02542373,forest,7,1
170,100,51.05932203,forest,5,1
170,96.6525,48.09322034,forest,4,1
170,83.0825,55.08474576,forest,4,3
170,56.605,73.09322034,forest,5,5
170,40.1475,80.08474576,forest,5,5
290,100,100,forest,15,1
290,100,80.08474576,forest,16,1
290,51.235,83.26271186,forest,15,6
290,14.01,61.44067797,forest,13,8
290,18.0325,84.11016949,forest,13,5
290,0,52.75423729,forest,6,0
250,99.7775,58.68644068,forest,2,1
250,93.53,74.57627119,forest,4,2
250,59.7575,46.8220339,forest,1,3
250,55.6225,29.02542373,forest,1,8
250,8.9475,1.483050847,forest,0,2
250,7.2825,9.322033898,forest,0,5
310,86.6725,97.24576271,forest,5,1
310,89.355,89.40677966,forest,5,1
310,46.57,96.39830508,forest,5,1
310,37.7875,93.6440678,forest,6,1
310,1.245,73.94067797,forest,3,1
350,81.0775,16.52542373,forest,10,2
350,99.985,20.33898305,forest,10,1
350,95.17,20.12711864,forest,10,1
350,99.8375,17.37288136,forest,8,1
350,0.21,0,forest,2,1
160,90.54,48.30508475,forest,4,1
160,93.08,40.46610169,forest,4,2
160,24.9225,60.80508475,forest,5,7
160,16.45,56.77966102,forest,3,6
160,21.095,52.75423729,forest,4,6
250,100,30.72033898,forest,7,1
250,88.545,25.63559322,forest,8,1
250,64.9475,31.99152542,forest,10,1
250,49.82,30.29661017,forest,10,2
250,7.41,23.30508475,forest,5,3
250,1.5775,40.25423729,forest,6,3
330,44.2925,45.33898305,forest,12,3
330,99.8675,60.38135593,forest,9,1
330,0,22.88135593,forest,3,0
330,38.2825,11.86440678,forest,7,3
330,11.4125,19.06779661,forest,8,7
330,0,2.118644068,forest,2,0
170,100,54.02542373,forest,7,1
170,100,51.05932203,forest,8,1
170,96.6525,48.09322034,forest,7,1
170,83.0825,55.08474576,forest,7,3
170,56.605,73.09322034,forest,7,5
170,40.1475,80.08474576,forest,4,5
290,100,100,forest,16,1
290,100,80.08474576,forest,13,1
290,51.235,83.26271186,forest,20,6
290,14.01,61.44067797,forest,16,8
290,18.0325,84.11016949,forest,13,5
290,0,52.75423729,forest,5,0
250,99.7775,58.68644068,forest,3,1
250,93.53,74.57627119,forest,2,2
250,59.7575,46.8220339,forest,1,3
250,55.6225,29.02542373,forest,3,8
250,8.9475,1.483050847,forest,1,2
250,7.2825,9.322033898,forest,1,5
310,86.6725,97.24576271,forest,7,1
310,89.355,89.40677966,forest,7,1
310,46.57,96.39830508,forest,7,1
310,37.7875,93.6440678,forest,7,1
310,0,95.55084746,forest,7,0
310,1.245,73.94067797,forest,7,1
350,81.0775,16.52542373,forest,10,2
350,99.985,20.33898305,forest,6,1
350,95.17,20.12711864,forest,14,1
350,99.8725,22.24576271,forest,11,1
350,99.8375,17.37288136,forest,10,1
350,0.21,0,forest,0,1
160,90.54,48.30508475,forest,4,1
160,93.08,40.46610169,forest,4,2
160,24.9225,60.80508475,forest,5,7
160,16.45,56.77966102,forest,3,6
160,21.095,52.75423729,forest,3,6
250,100,30.72033898,forest,9,1
250,88.545,25.63559322,forest,9,1
250,64.9475,31.99152542,forest,11,1
250,49.82,30.29661017,forest,11,2
250,7.41,23.30508475,forest,6,3
250,1.5775,40.25423729,forest,6,3
330,99.8675,60.38135593,generalist,3,1
330,0,22.88135593,generalist,2,0
330,38.2825,11.86440678,generalist,3,3
330,11.4125,19.06779661,generalist,3,7
330,0,2.118644068,generalist,2,0
290,100,100,generalist,4,1
290,100,80.08474576,generalist,3,1
290,51.235,83.26271186,generalist,7,6
290,14.01,61.44067797,generalist,8,8
290,18.0325,84.11016949,generalist,7,5
290,0,52.75423729,generalist,7,0
250,99.7775,58.68644068,generalist,3,1
250,93.53,74.57627119,generalist,4,2
250,59.7575,46.8220339,generalist,3,3
250,55.6225,29.02542373,generalist,3,8
250,8.9475,1.483050847,generalist,1,2
250,7.2825,9.322033898,generalist,2,5
310,86.6725,97.24576271,generalist,4,1
310,89.355,89.40677966,generalist,4,1
310,46.57,96.39830508,generalist,3,1
310,37.7875,93.6440678,generalist,4,1
310,1.245,73.94067797,generalist,5,1
350,81.0775,16.52542373,generalist,4,2
350,99.985,20.33898305,generalist,4,1
350,95.17,20.12711864,generalist,4,1
350,99.8375,17.37288136,generalist,3,1
350,0.21,0,generalist,2,1
160,90.54,48.30508475,generalist,1,1
160,93.08,40.46610169,generalist,0,2
160,24.9225,60.80508475,generalist,2,7
160,16.45,56.77966102,generalist,1,6
160,21.095,52.75423729,generalist,3,6
250,100,30.72033898,generalist,1,1
250,88.545,25.63559322,generalist,0,1
250,64.9475,31.99152542,generalist,1,1
250,49.82,30.29661017,generalist,2,2
250,7.41,23.30508475,generalist,2,3
250,1.5775,40.25423729,generalist,0,3
330,44.2925,45.33898305,generalist,3,3
330,99.8675,60.38135593,generalist,3,1
330,0,22.88135593,generalist,3,0
330,38.2825,11.86440678,generalist,3,3
330,11.4125,19.06779661,generalist,2,7
330,0,2.118644068,generalist,2,0
290,100,100,generalist,4,1
290,100,80.08474576,generalist,4,1
290,51.235,83.26271186,generalist,6,6
290,14.01,61.44067797,generalist,6,8
290,18.0325,84.11016949,generalist,7,5
290,0,52.75423729,generalist,5,0
250,99.7775,58.68644068,generalist,4,1
250,93.53,74.57627119,generalist,4,2
250,59.7575,46.8220339,generalist,3,3
250,55.6225,29.02542373,generalist,4,8
250,8.9475,1.483050847,generalist,1,2
250,7.2825,9.322033898,generalist,2,5
310,86.6725,97.24576271,generalist,5,1
310,89.355,89.40677966,generalist,5,1
310,46.57,96.39830508,generalist,4,1
310,37.7875,93.6440678,generalist,5,1
310,0,95.55084746,generalist,5,0
310,1.245,73.94067797,generalist,7,1
350,81.0775,16.52542373,generalist,4,2
350,99.985,20.33898305,generalist,4,1
350,95.17,20.12711864,generalist,3,1
350,99.8725,22.24576271,generalist,4,1
350,99.8375,17.37288136,generalist,3,1
350,0.21,0,generalist,0,1
160,90.54,48.30508475,generalist,1,1
160,93.08,40.46610169,generalist,0,2
160,24.9225,60.80508475,generalist,1,7
160,16.45,56.77966102,generalist,1,6
160,21.095,52.75423729,generalist,3,6
250,100,30.72033898,generalist,1,1
250,88.545,25.63559322,generalist,0,1
250,64.9475,31.99152542,generalist,1,1
250,49.82,30.29661017,generalist,3,2
250,7.41,23.30508475,generalist,2,3
250,1.5775,40.25423729,generalist,1,3
330,99.8675,60.38135593,open,1,1
330,0,22.88135593,open,8,0
330,38.2825,11.86440678,open,7,3
330,11.4125,19.06779661,open,3,7
330,0,2.118644068,open,7,0
170,100,54.02542373,open,1,1
170,100,51.05932203,open,0,1
170,96.6525,48.09322034,open,2,1
170,83.0825,55.08474576,open,1,3
170,56.605,73.09322034,open,1,5
170,40.1475,80.08474576,open,0,5
290,100,100,open,0,1
290,100,80.08474576,open,1,1
290,51.235,83.26271186,open,3,6
290,14.01,61.44067797,open,3,8
290,18.0325,84.11016949,open,5,5
290,0,52.75423729,open,5,0
250,99.7775,58.68644068,open,0,1
250,93.53,74.57627119,open,0,2
250,59.7575,46.8220339,open,0,3
250,55.6225,29.02542373,open,0,8
250,8.9475,1.483050847,open,1,2
250,7.2825,9.322033898,open,2,5
310,86.6725,97.24576271,open,0,1
310,89.355,89.40677966,open,0,1
310,46.57,96.39830508,open,0,1
310,37.7875,93.6440678,open,2,1
310,1.245,73.94067797,open,2,1
350,81.0775,16.52542373,open,5,2
350,99.985,20.33898305,open,5,1
350,95.17,20.12711864,open,4,1
350,99.8375,17.37288136,open,4,1
350,0.21,0,open,5,1
160,90.54,48.30508475,open,0,1
160,93.08,40.46610169,open,0,2
160,24.9225,60.80508475,open,1,7
160,16.45,56.77966102,open,0,6
160,21.095,52.75423729,open,1,6
250,100,30.72033898,open,0,1
250,88.545,25.63559322,open,0,1
250,64.9475,31.99152542,open,0,1
250,49.82,30.29661017,open,0,2
250,7.41,23.30508475,open,1,3
250,1.5775,40.25423729,open,1,3
330,44.2925,45.33898305,open,2,3
330,99.8675,60.38135593,open,1,1
330,0,22.88135593,open,10,0
330,38.2825,11.86440678,open,8,3
330,11.4125,19.06779661,open,4,7
330,0,2.118644068,open,9,0
170,100,54.02542373,open,0,1
170,100,51.05932203,open,1,1
170,96.6525,48.09322034,open,0,1
170,83.0825,55.08474576,open,1,3
170,56.605,73.09322034,open,1,5
170,40.1475,80.08474576,open,2,5
290,100,100,open,0,1
290,100,80.08474576,open,0,1
290,51.235,83.26271186,open,2,6
290,14.01,61.44067797,open,3,8
290,18.0325,84.11016949,open,2,5
290,0,52.75423729,open,5,0
250,99.7775,58.68644068,open,1,1
250,93.53,74.57627119,open,0,2
250,59.7575,46.8220339,open,0,3
250,55.6225,29.02542373,open,0,8
250,8.9475,1.483050847,open,1,2
250,7.2825,9.322033898,open,2,5
310,86.6725,97.24576271,open,1,1
310,89.355,89.40677966,open,0,1
310,46.57,96.39830508,open,1,1
310,37.7875,93.6440678,open,1,1
310,0,95.55084746,open,1,0
310,1.245,73.94067797,open,3,1
350,81.0775,16.52542373,open,4,2
350,99.985,20.33898305,open,0,1
350,95.17,20.12711864,open,2,1
350,99.8725,22.24576271,open,3,1
350,99.8375,17.37288136,open,3,1
350,0.21,0,open,3,1
160,90.54,48.30508475,open,0,1
160,93.08,40.46610169,open,0,2
160,24.9225,60.80508475,open,1,7
160,16.45,56.77966102,open,0,6
160,21.095,52.75423729,open,1,6
250,100,30.72033898,open,0,1
250,88.545,25.63559322,open,0,1
250,64.9475,31.99152542,open,0,1
250,49.82,30.29661017,open,0,2
250,7.41,23.30508475,open,0,3
250,1.5775,40.25423729,open,1,3
